domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,100,5,5,1,1,10,"10,4,4,3,4,0,6,10,10,6,6,6,10,12,10,10,12,10,8,10","0.0000,0.0164,0.0164,0.0446,0.0164,0.8966,0.0022,0.0000,0.0000,0.0022,0.0022,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000",1.0
block-words,p02,10,6,6,12,1,1,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0","0.0246,0.0246,0.0246,0.0246,0.0246,0.0246,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0246,0.0246,0.0669",1.0
block-words,p02,30,6,6,1,1,3,"4,4,2,2,2,2,0,1,1,2,2,2,3,2,3,3,4,2,2,5","0.0055,0.0055,0.0410,0.0410,0.0410,0.0410,0.3030,0.1115,0.1115,0.0410,0.0410,0.0410,0.0151,0.0410,0.0151,0.0151,0.0055,0.0410,0.0410,0.0020",1.0
block-words,p02,50,6,6,1,1,5,"4,4,2,2,2,2,0,5,3,2,2,2,7,7,7,7,7,4,4,9","0.0088,0.0088,0.0650,0.0650,0.0650,0.0650,0.4803,0.0032,0.0239,0.0650,0.0650,0.0650,0.0004,0.0004,0.0004,0.0004,0.0004,0.0088,0.0088,0.0001",1.0
block-words,p02,70,6,6,1,1,7,"7,6,4,4,4,4,0,7,5,4,4,4,9,9,9,9,9,6,7,11","0.0008,0.0022,0.0160,0.0160,0.0160,0.0160,0.8747,0.0008,0.0059,0.0160,0.0160,0.0160,0.0001,0.0001,0.0001,0.0001,0.0001,0.0022,0.0008,0.0000",1.0
block-words,p02,100,6,6,1,1,10,"10,8,6,6,6,6,0,10,10,6,6,6,12,12,12,12,14,10,8,14","0.0000,0.0003,0.0024,0.0024,0.0024,0.0024,0.9821,0.0000,0.0000,0.0024,0.0024,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000",1.0
block-words,p02,10,7,6,12,0,1,"1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0","0.0246,0.0246,0.0246,0.0246,0.0246,0.0246,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669,0.0246,0.0246,0.0669",1.0
block-words,p02,30,7,6,3,0,2,"4,3,2,2,2,2,0,0,0,2,2,2,2,2,2,2,4,2,2,4","0.0038,0.0102,0.0278,0.0278,0.0278,0.0278,0.2056,0.2056,0.2056,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0038,0.0278,0.0278,0.0038",1.0
block-words,p02,50,7,6,3,0,2,"4,3,2,2,2,2,0,0,0,2,2,2,2,2,2,2,4,2,2,4","0.0038,0.0102,0.0278,0.0278,0.0278,0.0278,0.2056,0.2056,0.2056,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0038,0.0278,0.0278,0.0038",1.0
block-words,p02,70,7,7,1,1,3,"5,5,3,3,2,2,1,0,1,3,3,2,2,2,2,2,5,2,2,4","0.0021,0.0021,0.0156,0.0156,0.0424,0.0424,0.1153,0.3133,0.1153,0.0156,0.0156,0.0424,0.0424,0.0424,0.0424,0.0424,0.0021,0.0424,0.0424,0.0057",1.0
block-words,p02,100,7,7,1,1,4,"6,6,4,4,4,4,4,0,4,6,6,6,4,4,4,4,8,4,4,4","0.0020,0.0020,0.0146,0.0146,0.0146,0.0146,0.0146,0.7995,0.0146,0.0020,0.0020,0.0020,0.0146,0.0146,0.0146,0.0146,0.0003,0.0146,0.0146,0.0146",1.0
